,hc_specificity,dev_peak,aging_decline,conservation,gwas,sgn_specificity,score,TPS_FINAL
TRPC5,0.0,0.9998850313186304,0.651820208268438,0.5,0.0,0.6230298,0.3660920351145657,0.4223559975039918
B9D2,0.0,0.9302012493747772,0.8486105197764439,0.5,0.0,0.54319626,0.3692509035043963,0.421971079841422
FAM110A,0.0,0.9690499829432044,0.8302139304584046,0.5,0.0,0.51459545,0.3680360461611749,0.42126117615740155
DNAH5,0.3089773815579908,0.6841981004409193,0.5707232653716258,0.5,0.0,0.53014416,0.3474699503613906,0.421170156361325
EYA4,0.0,0.808971996880228,0.305747959366915,0.5,1.0,0.31562993,0.3854538475095397,0.42078257928108287
IBSP,0.0,0.9673719059053276,0.9432147633862666,0.5,0.0,0.42898342,0.3718863084545394,0.42075327968900555
DRC1,0.32629288443869153,0.7856315268112462,0.7707145889030579,0.5,0.0,0.24902818,0.2917263343396425,0.4204269950293154
SCNN1G,0.0003839925544305459,0.9328773506817774,0.87458788328476,0.5,0.0,0.5125294,0.3689436373834343,0.4203847303953987
TMEM121,0.0,0.8577677061375799,0.8606134879534023,0.5,0.0,0.5977839,0.3684206186935309,0.42020234442052634
CLDN14,0.0,0.7337298294759753,0.3057480633490269,0.5,1.0,0.38678393,0.3848139700318459,0.41996496139754913
CISD3,0.0,0.789993170108304,0.7900897249128183,0.5,0.0,0.71713084,0.3654862575812034,0.41993826075858354
TSPAN32,0.0,0.746728356979929,0.9049283260893768,0.5,0.0,0.67356193,0.3697434324180071,0.41979730630939227
CERS3,0.0,0.9957917351977345,0.9118531509627836,0.5,0.0,0.41895688,0.3722893979161989,0.41972769568396445
OLFM3,0.0,0.98284683085489,0.7457645930835496,0.5,0.0,0.55293584,0.3631745252545462,0.4190212231335104
PCDHA12,0.0,0.9886575201346376,0.7353251856522688,0.5,0.0,0.55492187,0.3627986564416124,0.4190146558747678
RELT,0.004842767003911429,0.7709276604773075,0.6572433774376538,0.5,0.0,0.82327217,0.3586432408804742,0.418879302812283
G0S2,0.005265138477760646,0.9349810500565322,0.8957785791521258,0.5,0.0,0.47711605,0.3671305845572361,0.41836574842745355
